ts_code,ann_date,end_date,type,p_change_min,p_change_max,net_profit_min,net_profit_max
300146.SZ,20200101,20191231,首亏,-136.9193,-136.4204,-37000.0,-36500.0
830974.BJ,20200101,20191231,预增,160.13,187.8,4700.0,5200.0
600519.SH,20200102,20191231,略增,15.0,15.0,4050000.0,4050000.0
300248.SZ,20200103,20191231,预增,50.0,70.0,14417.0,16339.0
002861.SZ,20200103,20191231,略增,7.77,13.97,6950.0,7350.0
688026.SH,20200103,20191231,略增,17.35,24.92,6200.0,6600.0
300371.SZ,20200103,20191231,略增,20.0,45.0,9788.0,11827.0
000661.SZ,20200103,20191231,略增,20.1403,35.1578,161039.0,181169.0
688189.SH,20200103,20191231,略增,32.16,44.36,7074.0,7727.0
000563.SZ,20200104,20191231,预增,81.4,81.4,57953.0,57953.0
300446.SZ,20200104,20191231,续盈,-10.0,10.0,9276.0,11337.0
300122.SZ,20200104,20191231,预增,55.0,75.0,224962.0,253989.0
300481.SZ,20200104,20191231,略增,30.0,50.0,13731.0,15843.0
300560.SZ,20200104,20191231,续盈,-15.0,15.0,4973.0,6728.0
300596.SZ,20200104,20191231,预增,55.38,70.92,30000.0,33000.0
600223.SH,20200104,20191231,预增,80.0,120.0,29171.0,35653.0
002299.SZ,20200104,20191231,预增,171.01,178.98,408000.0,420000.0
000703.SZ,20200104,20191231,预增,42.71,58.0,280000.0,310000.0
300260.SZ,20200104,20191231,预增,55.33,81.22,6000.0,7000.0
300429.SZ,20200104,20191231,续盈,-10.0,10.0,13190.0,16122.0
300365.SZ,20200104,20191231,略增,10.0,35.0,29879.0,36670.0
603189.SH,20200104,20191231,预增,325.32,425.39,3400.0,4200.0
002945.SZ,20200106,20191231,略增,25.29,31.09,43183.0,45183.0
688159.SH,20200106,20191231,略增,37.95,51.74,6000.0,6600.0
688266.SH,20200106,20191231,续亏,-6.6458,5.7847,-46934.0,-41463.0
300815.SZ,20200106,20191231,预增,56.55,72.52,28559.0,31473.0
002476.SZ,20200106,20191231,扭亏,131.4291,146.9544,8300.0,12400.0
002007.SZ,20200106,20191231,略增,10.0,20.0,125346.0,136742.0
002701.SZ,20200106,20191231,预增,197.27,246.08,67000.0,78000.0
000690.SZ,20200106,20191231,预增,49.06,98.75,69000.0,92000.0
603916.SH,20200107,20191231,略增,25.0,35.0,33540.0,36240.0
300584.SZ,20200107,20191231,略增,10.0,20.0,9155.0,9987.0
300114.SZ,20200107,20191231,略增,30.0,45.0,20305.0,22648.0
000739.SZ,20200107,20191231,预增,43.02,56.52,53000.0,58000.0
600623.SH,20200107,20191231,预减,-69.56,-64.03,55000.0,65000.0
300498.SZ,20200107,20191231,预增,249.97,261.35,1385000.0,1430000.0
000829.SZ,20200107,20191231,扭亏,123.8423,130.3447,5500.0,7000.0
688298.SH,20200107,20191231,略增,25.44,25.44,8200.0,8200.0
603290.SH,20200107,20191231,略增,24.02,35.29,11000.0,12000.0
603195.SH,20200107,20191231,预增,37.19,51.64,230057.0,254273.0
300145.SZ,20200107,20191231,预减,-95.35,-89.54,2000.0,4500.0
000672.SZ,20200107,20191231,预增,53.0,60.0,225000.0,235000.0
000856.SZ,20200107,20191231,续盈,-13.19,8.52,2000.0,2500.0
002833.SZ,20200107,20191231,略增,10.95,18.35,30000.0,32000.0
000401.SZ,20200107,20191231,略增,41.03,46.29,268000.0,278000.0
000966.SZ,20200108,20191231,预增,164.51,194.22,55200.0,61400.0
300462.SZ,20200108,20191231,预增,450.0,480.0,28934.0,30512.0
002177.SZ,20200108,20191231,扭亏,149.5689,173.826,4700.0,7000.0
002302.SZ,20200108,20191231,预增,83.0,133.0,55520.0,70690.0
601992.SH,20200108,20191231,略增,7.0,20.0,350000.0,390000.0
002065.SZ,20200108,20191231,略减,-26.0,-13.0,60000.0,70000.0
300496.SZ,20200108,20191231,预增,40.59,52.77,23100.0,25100.0
002324.SZ,20200108,20191231,预增,130.0,180.0,16633.0,20249.0
300403.SZ,20200108,20191231,续盈,-3.0,1.0,15788.0,16439.0
688518.SH,20200108,20191231,续盈,-2.85,6.74,8100.0,8900.0
300749.SZ,20200108,20191231,略增,0.0,15.0,7651.0,8799.0
300738.SZ,20200108,20191231,预增,70.56,81.6,9880.0,10520.0
000791.SZ,20200108,20191231,略减,-17.56,-11.38,40000.0,43000.0
600396.SH,20200108,20191231,扭亏,108.9206,110.2931,6500.0,7500.0
300036.SZ,20200108,20191231,略增,16.0,34.0,19500.0,22500.0
300384.SZ,20200108,20191231,预增,60.0,70.0,18095.0,19226.0
002008.SZ,20200109,20191231,预减,-63.0,-58.0,63589.0,72182.0
603127.SH,20200109,20191231,预增,40.0,60.0,15167.0,17334.0
300639.SZ,20200109,20191231,略增,23.0,32.0,14032.0,15059.0
300601.SZ,20200109,20191231,略增,26.24,35.42,55000.0,59000.0
300179.SZ,20200109,20191231,预增,78.0,94.0,11500.0,12500.0
603758.SH,20200109,20191231,扭亏,272.8198,319.9525,11000.0,14000.0
300019.SZ,20200109,20191231,预增,95.0,115.0,12700.0,14000.0
300117.SZ,20200109,20191231,略减,-28.48,-11.46,4200.0,5200.0
002107.SZ,20200109,20191231,预增,95.0,142.0,8902.0,11048.0
300387.SZ,20200109,20191231,预增,30.72,60.53,8550.0,10500.0
300160.SZ,20200109,20191231,扭亏,151.9024,154.0471,12100.0,12600.0
000790.SZ,20200110,20191231,预增,92.5,118.16,6000.0,6800.0
002388.SZ,20200110,20191231,预增,39.91,71.0,4500.0,5500.0
300625.SZ,20200110,20191231,略增,30.0,50.0,23435.0,27040.0
300425.SZ,20200110,20191231,略增,10.0,30.0,15109.0,17856.0
300327.SZ,20200110,20191231,略增,10.0,15.0,18512.0,19353.0
688299.SH,20200110,20191231,预增,55.0,75.0,13776.0,15553.0
603893.SH,20200110,20191231,略增,3.56,17.87,19900.0,22649.0
603588.SH,20200110,20191231,略增,23.0,32.0,40000.0,43000.0
603877.SH,20200110,20191231,略减,-4.0,-4.0,55000.0,55000.0
002641.SZ,20200110,20191231,预增,100.0,120.0,48934.0,53827.0
603613.SH,20200110,20191231,预增,60.88,70.46,15100.0,16000.0
300331.SZ,20200110,20191231,预增,35.0,65.0,8374.0,10234.0
603218.SH,20200110,20191231,预增,73.0,85.0,48536.0,51903.0
300428.SZ,20200110,20191231,略增,10.0,30.0,42920.0,50723.0
000090.SZ,20200110,20191231,预增,40.0,60.0,109420.0,125000.0
000058.SZ,20200110,20191231,预增,133.37,133.37,6500.0,6500.0
000513.SZ,20200110,20191231,略增,15.0,25.0,124450.0,135272.0
002916.SZ,20200111,20191231,预增,65.0,85.0,115047.0,128992.0
002448.SZ,20200111,20191231,预减,-70.0,-60.0,8441.0,11255.0
002554.SZ,20200111,20191231,扭亏,115.1708,119.2164,7500.0,9500.0
002151.SZ,20200111,20191231,首亏,-709.4253,-615.6676,-65000.0,-55000.0
